[0s] STT: 'con chó Mày làm sao đánh nhau không mẹ mày Đánh nhau không' | YAMNet: argument (1.00) | V: True, E: False, T: False
[50s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[60s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[70s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[80s] STT: '' | YAMNet: argument (0.30) | V: False, E: False, T: False
[90s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[100s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[110s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[120s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[130s] STT: 'nội dung Đôla' | YAMNet: argument (0.10) | V: False, E: False, T: False
[140s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[150s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[160s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[170s] STT: '' | YAMNet: argument (0.22) | V: False, E: False, T: False
[180s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[190s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[200s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[210s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[220s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[0s] STT: 'cứu cứu cứu cứu cứu cứu' | YAMNet: argument (1.00) | V: False, E: True, T: False
[0s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[10s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[20s] STT: 'tao nhà nước thuộc về nhau' | YAMNet: argument (0.10) | V: False, E: False, T: False
[30s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[40s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[50s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[60s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[70s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[80s] STT: '' | YAMNet: argument (0.30) | V: False, E: False, T: False
[90s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[100s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[110s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[120s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[130s] STT: 'nội dung Đôla' | YAMNet: argument (0.10) | V: False, E: False, T: False
[140s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[150s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[160s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[170s] STT: '' | YAMNet: argument (0.22) | V: False, E: False, T: False
[180s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[190s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[200s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[210s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[220s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[10s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[20s] STT: 'tao nhà nước thuộc về nhau' | YAMNet: argument (0.10) | V: False, E: False, T: False
[30s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[40s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[50s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[60s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[70s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[80s] STT: '' | YAMNet: argument (0.30) | V: False, E: False, T: False
[90s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[100s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[110s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[120s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[130s] STT: 'nội dung Đôla' | YAMNet: argument (0.10) | V: False, E: False, T: False
[140s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[150s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[160s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[170s] STT: '' | YAMNet: argument (0.22) | V: False, E: False, T: False
[180s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[190s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[200s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[210s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[220s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Đi corn genau Praise Này giờ Social Edith Đi mky Đi 본 cái tập Covid nhà' | YAMNet: argument (0.95) | V: False, E: False, T: False
[10s] STT: 'Bố bây giờ thả thái thái thái độ lắm lồn được thế nào gì? Rất mời Rất mời Rất mời Rất mời Rất mời Rất mời Rất mời Rất mời' | YAMNet: argument (1.00) | V: True, E: False, T: False
[20s] STT: 'Đắng chẳng ăn ăn ta hẳn dù nabil nhớ n induct' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'alclave con mái hả mời! wollen đau x ook Johann väldigt ờ giòn con mái ờ mời, nó Feeling good' | YAMNet: argument (0.95) | V: False, E: False, T: False
[10s] STT: 'I want to smile. Bố xo authoritarian Ấn blending denk Như ban Fight Ng stocky cho ai cũng phải lên N' | YAMNet: argument (1.00) | V: False, E: False, T: False
[20s] STT: 'Many 5, 5, 3 I already know What bởi vì�� beb bike.. bởi cho,iler bởi Ah em' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Đi con mấy à mày! Tùy lôn sánh mời! Hả? Đi con mấy à mày! Bố bị nhọt với mày nữa! Đi con mấy à mấy đánh chết trà bây giờ! Bố bị trào hỏi từ tế này quay ra thể thái độ lắng lồn nó thích nào gì? Lấp mời đến 5 năm ta còn chứa sợ! Đi cái đau bùi, lấp mời nhưng mà... Ah, thế à?' | YAMNet: argument (1.00) | V: True, E: False, T: True
[0s] STT: 'Cái người g anticipated where kidding mày liết cây besus máxim i tìker hai hi à hi hi ta h Surv' | YAMNet: argument (0.95) | V: False, E: False, T: False
[10s] STT: 'Ơ lắm ạ Ơ lắm ạ Ơ lắm ạ Ơ lắm ạ Vũ bây giờ hỏi từ tế này quay ra thể Thái độ lắm lắm ạ Thế nào gì? Rất mời' | YAMNet: argument (1.00) | V: False, E: False, T: False
[20s] STT: 'Đi lắm nằm ta còn châu sợ Gần gì cái đó bòi lắm bòi nhưng mà Ah, thế à' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[10s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[20s] STT: 'tao nhà nước thuộc về nhau' | YAMNet: argument (0.10) | V: False, E: False, T: False
[30s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[40s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[50s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[60s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[70s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[80s] STT: '' | YAMNet: argument (0.30) | V: False, E: False, T: False
[90s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[100s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[110s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[120s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[130s] STT: 'nội dung Đôla' | YAMNet: argument (0.10) | V: False, E: False, T: False
[140s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[150s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[160s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[170s] STT: '' | YAMNet: argument (0.22) | V: False, E: False, T: False
[180s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[190s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[200s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[210s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[220s] STT: '' | YAMNet: argument (0.10) | V: False, E: False, T: False
[0s] STT: 'con chó Mày làm sao đánh nhau không mẹ mày Đánh nhau không' | YAMNet: argument (1.00) | V: True, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
[0s] STT: 'Địt con mẹ mày Tuổi lồn sánh vai cái địt con mẹ mày bố mày nhờn với mày đấy à' | YAMNet: argument (0.95) | V: True, E: False, T: True
[10s] STT: 'Địt con mẹ mày Đánh chết cha bây giờ bố mày chào hỏi tử tế lại quay ra thể hiện cái thái độ lắm lồn là thế nào nhỉ' | YAMNet: argument (1.00) | V: True, E: False, T: True
[20s] STT: '' | YAMNet: argument (0.99) | V: False, E: False, T: False
